"Fichier";"Author";"Type";"Cat";"Average"
"Kids are all right";"Divers";"SONG";"MISCELLANEOUS";"1,29"
"The Guardian - Cher's 30 Greatest Songs - 2018";"The Guardian";"SONG";"THEME";"1,30"
"Le Choix - Blues - Les Racines - 2010";"Le Choix";"SONG";"GENRE";"1,32"
"Mojo - 15 Amazing Brazilian Songs - 2014";"Mojo";"SONG";"THEME";"1,33"
"NME - 50 Must Have EP's - 2014";"NME";"ALBUM";"THEME";"1,34"
"Spin - The 100 Greatest EDM Anthems of the '10s - 2015";"Spin";"SONG";"GENRE";"1,40"
"Uncut - 30 Best Songs Paul Weller - 2015";"Uncut";"SONG";"THEME";"1,40"
"Spin - The 101 Best Kanye West-Produced Songs That Don't Feature Kanye - 2015";"Spin";"SONG";"THEME";"1,41"
"Inrock - 100 Best French Songs - 2006";"Inrock";"SONG";"THEME";"1,50"
"Le Choix - Psych�d�lisme Moderne - 2010";"Le Choix";"SONG";"GENRE";"1,51"
"Rolling Stone - Merle Haggard - 30 Essential Songs - 2016";"Rolling Stone";"SONG";"THEME";"1,53"
"Le Choix - Blues - 50s et 60s - 2013";"Le Choix";"SONG";"GENRE";"1,56"
"Inrock - Pop En France - 2010";"Inrock";"SONG";"GENRE";"1,57"
"Fluxblog - 2018";"Fluxblog";"SONG";"YEAR";"1,60"
"Q - 75 Blues Greats The Best Blues Albums - 2005";"Q";"ALBUM";"GENRE";"1,60"
"Uncut - 20 Greatest Gram Parsons Songs - 2015";"Uncut";"SONG";"THEME";"1,60"
"Fluxblog - 2016";"Fluxblog";"SONG";"YEAR";"1,62"
"The Guardian - The Best UK Garage Tracks - 2019";"The Guardian";"SONG";"GENRE";"1,65"
"Fluxblog - 2015";"Fluxblog";"SONG";"YEAR";"1,70"
"GorillaVsBear - Song - 2018";"GorillaVsBear";"SONG";"YEAR";"1,70"
"NME - 501 Lost Songs - 2011";"NME";"SONG";"THEME";"1,70"
"Fluxblog - 2017";"Fluxblog";"SONG";"YEAR";"1,72"
"Fluxblog - 2005";"Fluxblog";"SONG";"YEAR";"1,74"
"Fluxblog - 2009";"Fluxblog";"SONG";"YEAR";"1,76"
"Fluxblog - 1998 Songs - 2017";"Fluxblog";"SONG";"YEAR";"1,78"
"The Guardian - A MODERN HISTORY OF MUSIC JAZZ - 2011";"The Guardian";"SONG";"ALL TIME";"1,79"
"SaidTheGramaphone - Song - 2008";"SaidTheGramaphone";"SONG";"YEAR";"1,80"
"Fluxblog - 1997 Songs - 2017";"Fluxblog";"SONG";"YEAR";"1,83"
"SaidTheGramaphone - Song - 2015";"SaidTheGramaphone";"SONG";"YEAR";"1,83"
"Fluxblog - 1999 Songs - 2017";"Fluxblog";"SONG";"YEAR";"1,85"
"Rolling Stone - Eagles Greatest Songs - 2016";"Rolling Stone";"SONG";"THEME";"1,85"
"Le Choix - Swing (1935 - 1945) - 2009";"Le Choix";"SONG";"GENRE";"1,86"
"Spin - The 30 Best Nu-Metal Songs - 2017";"Spin";"SONG";"GENRE";"1,87"
"Fluxblog - 2010";"Fluxblog";"SONG";"YEAR";"1,89"
"Paste - The 20 Best of Montreal Songs - 2017";"Paste";"SONG";"THEME";"1,90"
"NME - Tracks Of The Week - 2015";"NME";"SONG";"YEAR";"1,94"
"NME - Tracks Of The Week - 2014";"NME";"SONG";"YEAR";"1,96"
"Q - 500 Greatest Lost Tracks - 2007";"Q";"SONG";"THEME";"1,96"
"Rolling Stone - The 50 Best Songs by The Cure - 2015";"Rolling Stone";"SONG";"THEME";"1,96"
"GorillaVsBear - Song - 2016";"GorillaVsBear";"SONG";"YEAR";"1,97"
"Rolling Stone - The 30 Best Songs of Sting and The Police - 2013";"Rolling Stone";"SONG";"THEME";"1,97"
"Le Choix - Rap - 2009";"Le Choix";"SONG";"GENRE";"10,10"
"Le Choix - Songs - 2006";"Le Choix";"SONG";"YEAR";"10,10"
"Classic Rock Magazine - Rock's 30 Greatest Concept Albums - 2003";"Divers";"ALBUM";"GENRE";"10,13"
"Spin - Album - 2007";"Spin";"ALBUM";"YEAR";"10,15"
"Spin - Ten Most Underrated Albums Of All Time - 1991";"Spin";"ALBUM";"THEME";"10,20"
"Rolling Stone - The Best Songs of the Decade - 70's - 2010";"Rolling Stone";"SONG";"DECADE";"10,22"
"Rolling Stone - The Best Songs of the Decade - 90's - 2010";"Rolling Stone";"SONG";"DECADE";"10,24"
"Pitchfork - Album - 2001";"Pitchfork";"ALBUM";"YEAR";"10,25"
"Le Choix - Songs - 2003";"Le Choix";"SONG";"YEAR";"10,28"
"Spin - Album - 1996";"Spin";"ALBUM";"YEAR";"10,30"
"Inrock - Album - 1994";"Inrock";"ALBUM";"YEAR";"10,36"
"Inrock - 50 Ans De Rock - 2004";"Inrock";"ALBUM";"GENRE";"10,38"
"Mojo - Readership Top 100 Tracks Of The '90's - 1999";"Mojo";"SONG";"DECADE";"10,39"
"Rolling Stone - The Best Songs of the Decade - 80's - 2010";"Rolling Stone";"SONG";"DECADE";"10,48"
"Mojo - Album - 1997";"Mojo";"ALBUM";"YEAR";"10,50"
"Rolling Stone - Album - 1999";"Rolling Stone";"ALBUM";"YEAR";"10,50"
"Q - Psychedelic - 2005";"Q";"ALBUM";"GENRE";"10,55"
"Rolling Stone - Song - 1990";"Rolling Stone";"SONG";"YEAR";"10,60"
"NME - 50 Greatest Guitar Solos Of All Time - 2017";"NME";"SONG";"THEME";"10,61"
"Rolling Stone - 500 Best Songs - 2010";"Rolling Stone";"SONG";"ALL TIME";"10,61"
"Paste - Album - 1978";"Paste";"ALBUM";"YEAR";"10,62"
"2008 + Divers";"Divers";"ALBUM";"MISCELLANEOUS";"10,63"
"MusicForAnts - Album - 2007";"MusicForAnts";"ALBUM";"YEAR";"10,64"
"Rolling Stone - Album - 1978";"Rolling Stone";"ALBUM";"YEAR";"10,67"
"Classic Rock Magazine - 100 Greatest Rock Albums Ever - 2001";"Divers";"ALBUM";"GENRE";"10,70"
"Paste - The 100 Best Songs of the 1960s - 2016";"Paste";"SONG";"DECADE";"10,70"
"Paste - The 50 Best New Wave Albums - 2016";"Paste";"ALBUM";"GENRE";"10,70"
"NME - Readers Choice For The Most Heartbreak Albums Of All Time - 2000";"NME";"ALBUM";"THEME";"10,77"
"Mojo - Album - 1995";"Mojo";"ALBUM";"YEAR";"10,86"
"Mojo - Best Live albums Of All Time - 1998";"Mojo";"ALBUM";"THEME";"10,86"
"NME - Writers All Time Top 150 Singles - 1987";"NME";"SONG";"ALL TIME";"10,90"
"NME - Album - 1994";"NME";"ALBUM";"YEAR";"10,96"
"Q - The Greatest Classic Rock Albums Ever - 2004";"Q";"ALBUM";"GENRE";"11,07"
"Q - 50 Ultimate British Songs - 2011";"Q";"SONG";"THEME";"11,08"
"Rolling Stone - Album - 1989";"Rolling Stone";"ALBUM";"YEAR";"11,09"
"NME - The 80's - 2012";"NME";"SONG";"DECADE";"11,19"
"Q - 20 Greatest Live Albums - 2006";"Q";"ALBUM";"THEME";"11,20"
"Q - 10 Live Albums You Must Own - 2004";"Q";"ALBUM";"THEME";"11,30"
"Spin - Album - 1993";"Spin";"ALBUM";"YEAR";"11,30"
"Spin - Album - 1995";"Spin";"ALBUM";"YEAR";"11,35"
"Pitchfork - Top 100 Singles (2000-2004) - 2004";"Pitchfork";"SONG";"MISCELLANEOUS";"11,38"
"Rolling Stone - Album - 2009";"Rolling Stone";"ALBUM";"YEAR";"11,40"
"Rolling Stone - Song - 1997";"Rolling Stone";"SONG";"YEAR";"11,40"
"Paste - Album - 1998";"Paste";"ALBUM";"YEAR";"11,53"
"Rolling Stone - Album - 1986";"Rolling Stone";"ALBUM";"YEAR";"11,57"
"Rolling Stone - Album - 1996";"Rolling Stone";"ALBUM";"YEAR";"11,60"
"Le Choix - Les Meilleurs Riffs de Guitare Electrique de l'Histoire - 2009";"Le Choix";"SONG";"THEME";"11,73"
"Paste - Album - 1988";"Paste";"ALBUM";"YEAR";"11,73"
"Uncut - The 100 Greatest Singles Of The Post 1976 - 2001";"Uncut";"SONG";"LONG PERIOD";"11,74"
"NME - Writers Top 100 Singles Of All-Time - 1976";"NME";"SONG";"ALL TIME";"11,77"
"Rolling Stone - Album - 1988";"Rolling Stone";"ALBUM";"YEAR";"11,77"
"Rolling Stone - Song - 1995";"Rolling Stone";"SONG";"YEAR";"11,80"
"The World Critic Lists Greatest Rock Albums - 1978";"Divers";"ALBUM";"ALL TIME";"11,81"
"NME - Albums Of The Decade So Far 2010's - 2015";"NME";"ALBUM";"DECADE";"11,82"
"Pitchfork - Top 100 Albums (2000-2004) - 2004";"Pitchfork";"ALBUM";"MISCELLANEOUS";"11,82"
"Le Choix - Indispensables 80s - 2010";"Le Choix";"SONG";"DECADE";"11,86"
"NME - Readers Top 150 Tracks - 2011";"NME";"SONG";"ALL TIME";"11,87"
"NME - Greatest No1 Singles In History - 2012";"NME";"SONG";"ALL TIME";"11,88"
"NME - Classic Albums - 2007";"NME";"ALBUM";"ALL TIME";"11,90"
"Q - 50 Indie Rock Records You Must Own - Song - 2015";"Q";"SONG";"GENRE";"12,00"
"Rolling Stone - Song - 1980";"Rolling Stone";"SONG";"YEAR";"12,00"
"Q - The Music That Changed The World - Song (1954-1969) - 2004";"Q";"SONG";"LONG PERIOD";"12,05"
"Q - 50 Heaviest Albums Of All Time - 2001";"Q";"ALBUM";"GENRE";"12,06"
"Inrock - Album - 1995";"Inrock";"ALBUM";"YEAR";"12,08"
"NME - The 00's - 2012";"NME";"SONG";"DECADE";"12,08"
"Uncut - Album - 1966";"Uncut";"ALBUM";"YEAR";"12,10"
"NME - Album - 1975";"NME";"ALBUM";"YEAR";"12,15"
"Spin - Album - 1998";"Spin";"ALBUM";"YEAR";"12,15"
"Spin - Album - 2001";"Spin";"ALBUM";"YEAR";"12,15"
"Q - 100 Greatest Albums Of The 00's - 2009";"Q";"ALBUM";"DECADE";"12,16"
"NME - The 90's - 2012";"NME";"SONG";"DECADE";"12,18"
"1001 Albums You Must Hear - 2008";"Divers";"ALBUM";"ALL TIME";"12,20"
"Rolling Stone - Album - 1984";"Rolling Stone";"ALBUM";"YEAR";"12,20"
"Rolling Stone - Song - 1984";"Rolling Stone";"SONG";"YEAR";"12,20"
"Le Choix - Indispensables 70s - 2010";"Le Choix";"SONG";"DECADE";"12,26"
"NME - 500 Greatest Songs Of All Time - 2014";"NME";"SONG";"ALL TIME";"12,31"
"Spin - Song - 2003";"Spin";"SONG";"YEAR";"12,33"
"NME - Readers All Time Top 100 Singles - 1976";"NME";"SONG";"ALL TIME";"12,35"
"NME - The 70's - 2012";"NME";"SONG";"DECADE";"12,39"
"Rolling Stone - Song - 1986";"Rolling Stone";"SONG";"YEAR";"12,40"
"Spin - Album - 1991";"Spin";"ALBUM";"YEAR";"12,50"
"Rolling Stone - 100 Greatest Pop Songs - 2000";"Rolling Stone";"SONG";"GENRE";"12,54"
"Uncut - Album - 1997";"Uncut";"ALBUM";"YEAR";"12,56"
"NME - The 60's - 2012";"NME";"SONG";"DECADE";"12,59"
"Pitchfork - Album - 1999";"Pitchfork";"ALBUM";"YEAR";"12,60"
"Rolling Stone - 100 Greatest Songs of the Century So Far - 2018";"Rolling Stone";"SONG";"LONG PERIOD";"12,60"
"The Guardian - The 75 Best Singles of the 2000s - 2010";"The Guardian";"SONG";"DECADE";"12,60"
"Pitchfork - Top 200 Albums of the 2000s - 2009";"Pitchfork";"ALBUM";"DECADE";"12,74"
"NME - 50 Albums To Hear Before You Die - 2016";"NME";"ALBUM";"ALL TIME";"12,80"
"Rolling Stone - The 50 best songs of the XXI century - 2013";"Rolling Stone";"SONG";"LONG PERIOD";"12,82"
"Rolling Stone - The Best Songs of the Decade - 00's - 2010";"Rolling Stone";"SONG";"DECADE";"12,82"
"Mojo - Special Punk Issue - 77 Punk Smashers! - 2005";"Mojo";"ALBUM";"GENRE";"12,85"
"Q - 100 Greatest Guitar Tracks Ever! - 2005";"Q";"SONG";"THEME";"12,86"
"Rolling Stone - Women Who Rock 50 Greatest Albums - 2017";"Rolling Stone";"ALBUM";"THEME";"12,86"
"Rolling Stone - Essential Recordings Of The 90s - 1999";"Rolling Stone";"ALBUM";"DECADE";"12,87"
"NME - Album - 1977";"NME";"ALBUM";"YEAR";"12,93"
"Spin - The 20 Greatest Grunge Albums of All Time - 2004";"Spin";"ALBUM";"GENRE";"13,15"
"Q - The 25 Best Dance Albums Ever - 1997";"Q";"ALBUM";"GENRE";"13,18"
"Mojo - Album - 1994";"Mojo";"ALBUM";"YEAR";"13,20"
"NME - 101 Albums To Hear Before You Die - 2014";"NME";"ALBUM";"ALL TIME";"13,25"
"Rolling Stone - The 50 coolest records - 2002";"Rolling Stone";"ALBUM";"THEME";"13,46"
"Q - The Music That Changed The World - Song - 70s - 2004";"Q";"SONG";"DECADE";"13,50"
"Rock & Folk - 555 Albums From 1954-2014 - 2014";"Divers";"ALBUM";"ALL TIME";"13,64"
"Spin - 10 Reasons We Wish Spin Had Started In 1984 - 2005";"Spin";"ALBUM";"THEME";"13,90"
"NME - The 50 Most Explosive Choruses - 2018";"NME";"SONG";"THEME";"14,02"
"Rolling Stone - Songs Of The Decade (2000-2009) - 2009";"Rolling Stone";"SONG";"DECADE";"14,04"
"Q - 100 Songs That Changed The World - 2003";"Q";"SONG";"ALL TIME";"14,12"
"The Guardian - Alternative Top 100 Albums Ever - 1999";"The Guardian";"ALBUM";"GENRE";"14,14"
"Rolling Stone - Best songs of 90's - 2014";"Rolling Stone";"SONG";"DECADE";"14,21"
"The Guardian - Album - 2007";"The Guardian";"ALBUM";"YEAR";"14,25"
"Q - The Story Of Grunge - Albums - 2005";"Q";"ALBUM";"GENRE";"14,33"
"Rolling Stone - Song - 2002";"Rolling Stone";"SONG";"YEAR";"14,40"
"Rock & Folk - 1963 -1999 - Les Albums Indispensables - 1999";"Divers";"ALBUM";"ALL TIME";"14,42"
"MusicForAnts - 10's Decade Album So Far - 2014";"MusicForAnts";"ALBUM";"DECADE";"14,45"
"Mojo - The 100 Greatest Singles Of All Time - 1997";"Mojo";"SONG";"ALL TIME";"14,46"
"Mojo - Song - 2003";"Mojo";"SONG";"YEAR";"14,50"
"Mojo - 80 From The 80s - Albums - 2007";"Mojo";"ALBUM";"DECADE";"14,56"
"Rolling Stone - Album - 1987";"Rolling Stone";"ALBUM";"YEAR";"14,60"
"Rolling Stone - The 100 Best Singles Of The Last 25 Years - 1988";"Rolling Stone";"SONG";"LONG PERIOD";"14,66"
"Inrock - Best 100 Albums From The Last Decade (1986 - 1996) - 1995";"Inrock";"ALBUM";"DECADE";"14,69"
"Q - In Our Lifetime 100 Best Albums (1986-1994) - 1995";"Q";"ALBUM";"MISCELLANEOUS";"14,89"
"Spin - Album - 2000";"Spin";"ALBUM";"YEAR";"14,95"
"Uncut - The 150 Greatest Albums Of The 21st Century So Far - 2009";"Uncut";"ALBUM";"ALL TIME";"14,95"
"Pitchfork - Albums 80's - 2002";"Pitchfork";"ALBUM";"DECADE";"15,20"
"Rolling Stone - Song - 2004";"Rolling Stone";"SONG";"YEAR";"15,20"
"NME - The 50 Albums That Built Punk - 2013";"NME";"ALBUM";"GENRE";"15,26"
"Q - The 50 Most Exciting Tunes Ever.. - 2002";"Q";"SONG";"THEME";"15,28"
"Inrock - Top 100 des albums de la d�cennie - 2010";"Inrock";"ALBUM";"DECADE";"15,30"
"Spin - Album - 2002";"Spin";"ALBUM";"YEAR";"15,35"
"Mojo - The 20 Greatest Guitar Albums Ever - 2003";"Mojo";"ALBUM";"THEME";"15,40"
"PopMatters - 100 Best Songs From 1977-2003 - 2003";"PopMatters";"SONG";"LONG PERIOD";"15,44"
"MusicForAnts - Album 2000s - 2009";"MusicForAnts";"ALBUM";"DECADE";"15,48"
"Q - The Greatest Albums Of The Last 30 Years - 2016";"Q";"ALBUM";"LONG PERIOD";"15,50"
"La discoth�que id�ale 2 - Philippe Manoeuvre - 2011";"Divers";"ALBUM";"ALL TIME";"15,59"
"Le Choix - Indispensables 90s - 2010";"Le Choix";"SONG";"DECADE";"15,61"
"Rock & Folk - Top 50 Albums of the 2000s - 2009";"Divers";"ALBUM";"DECADE";"15,68"
"Paste - The 50 Best Post-Punk Albums - 2016";"Paste";"ALBUM";"GENRE";"15,74"
"Spin - Album - 1997";"Spin";"ALBUM";"YEAR";"15,75"
"PopMatters - The 100 Best Albums of the 2000s - 2014";"PopMatters";"ALBUM";"DECADE";"15,80"
"Rolling Stone - Song - 1982";"Rolling Stone";"SONG";"YEAR";"15,80"
"VOLUME - 200 Records That Changed The World - Song - 2008";"Divers";"SONG";"ALL TIME";"15,83"
"Q - Best Tracks Of The 80's - 2006";"Q";"SONG";"DECADE";"15,90"
"The Guardian - Writers Favourite Albums Ever - 2013";"The Guardian";"ALBUM";"ALL TIME";"15,99"
"Rolling Stone - Album - 1979";"Rolling Stone";"ALBUM";"YEAR";"16,00"
"Mojo - Top 50 Punk Albums - 2003";"Mojo";"ALBUM";"GENRE";"16,10"
"NME - The 50 Darkest Albums Ever Made - 2011";"NME";"ALBUM";"THEME";"16,16"
"Rolling Stone - Song - 1983";"Rolling Stone";"SONG";"YEAR";"16,20"
"Q - 50 Years of Great British Music - Song - 2008";"Q";"SONG";"THEME";"16,28"
"NME - Album - Top 100 - 2000's - 2009";"NME";"ALBUM";"DECADE";"16,34"
"Rolling Stone - Album - 1998";"Rolling Stone";"ALBUM";"YEAR";"16,40"
"Rolling Stone - Album - 2003";"Rolling Stone";"ALBUM";"YEAR";"16,40"
"Rolling Stone - Song - 1996";"Rolling Stone";"SONG";"YEAR";"16,40"
"Rolling Stone - 500 Albums - 2010";"Rolling Stone";"ALBUM";"ALL TIME";"16,51"
"Rolling Stone - Album - 1994";"Rolling Stone";"ALBUM";"YEAR";"16,60"
