Fichier;Type;Real Size;Theoric Size;Ratio
Mojo Special Edition - The UK Indie Top 100 Records - Misc;SONG;17;100;17
Uncut - 100 Rock & Movie Icons - Songs - 2005;SONG;23;100;23
Mojo - 100 Records That Changed the World - Songs - 2007;SONG;35;100;35
Mojo Special Edition - The UK Indie Top 100 Records - Album;ALBUM;36;100;36
Uncut - 100 Rock & Movie Icons - Albums - 2005;ALBUM;51;100;51
Mojo Special Edition - The UK Indie Top 100 Records - Single;SONG;52;100;52
'90;SONG;26;50;52
The Times Best Album Of The Decade - 2000 - 2009;ALBUM;17;30;56,6
Mojo - 100 Records That Changed the World - Albums - 2007;ALBUM;65;100;65
Pitchfork - The 200 Best Songs of the 1960s - 2006;SONG;136;200;68
Pitchfork - 200 Best Tracks of the Decade So Far (2010-2014) - 2014;SONG;142;200;71
The Times Magazine 100 Best Albums Of All Time - 1993;ALBUM;72;100;72
Spin - The 25 Greatest Albums Of All Time - 1989;ALBUM;19;25;76
1001 Greatest Songs by Toby Creswell;SONG;767;1 001;76,6
Pitchfork - Song - 2012;SONG;79;100;79
Pitchfork - Song - 2013;SONG;79;100;79
Kids are all right;SONG;14;17;82,3
truc;SONG;43;50;86
Q - In Our Lifetime 100 Best Albums (1986-1994) - 1995;ALBUM;87;100;87
Pitchfork - Albums 80's - 2002;ALBUM;89;100;89
Uncut - The 100 Greatest Singles Of The Post 1976 - 2001;SONG;90;100;90
Inrock - Best 100 Albums From The Last Decade (1986 - 1996) - 1995;ALBUM;91;100;91
Rolling Stone - 100 Greatest Guitar Songs Of All Time - 2008;SONG;92;100;92
Rolling Stone - 200 The Essential Rock Collection - 1997;ALBUM;188;200;94
Spin - Album - 2000;ALBUM;19;20;95
Paste - Album - 1978;ALBUM;29;30;96,6
Spin - 100 Greatest Singles Of All Time - 1989;SONG;97;100;97
NME - Tracks Of The Week - 2004;SONG;50;51;98
Pitchfork - Top 200 Albums of the 2000s - 2009;ALBUM;196;200;98
Mojo - 80 From The 80s - Albums - 2007;ALBUM;74;75;98,6
Q - 90 Of The 90s - 1999;ALBUM;89;90;98,8
Inrock - 1000 morceaux indispensables - 2015;SONG;996;1 000;99,6
Inrock - The Juke Box! Singles selection from 1950 to 2009 - 2009;SONG;1 211;1 213;99,8
Pitchfork - Top 500 Tracks of the 2000s - 2009;SONG;499;500;99,8
Q - 1010 Songs You Must Own - 2004;SONG;1 011;1 010;100
Rolling Stone - 100 Best Live Albums - 2012;ALBUM;101;100;101
Inrock - Album - 2017;ALBUM;101;100;101
Spin - Top 90 Albums Of The 90's - 1999;ALBUM;91;90;101,1
The Guardian - Album - 2008;ALBUM;51;50;102
The Guardian - Alternative Top 100 Albums Ever - 1999;ALBUM;102;100;102
MusicForAnts - Song - 2009;SONG;51;50;102
NME - 50 Greatest Guitar Solos Of All Time - 2017;SONG;51;50;102
Rolling Stone - Album - 2017;ALBUM;51;50;102
Pitchfork - Album - 2012;ALBUM;51;50;102
PopMatters - Album - 2005;ALBUM;51;50;102
RockRS;SONG;46;45;102,2
MusicForAnts - 10's Decade Song So Far - 2014;SONG;46;45;102,2
Mojo - Album - 2002;ALBUM;41;40;102,5
Mojo - The 100 Greatest Singles Of All Time - 1997;SONG;136;132;103
MusicForAnts - Song - 2005;SONG;26;25;104
Mojo - READERS THE 100 GREATEST ALBUMS EVER MADE - 1996;ALBUM;104;100;104
Spin - 50 Greatest Bands Of All Time - 2002;ALBUM;52;50;104
Pitchfork - Album - 2002;ALBUM;52;50;104
Pitchfork - Album - 2010;ALBUM;52;50;104
Rolling Stone - 500 Best Songs - 2010;SONG;524;500;104,8
Spin - Song - 2003;SONG;21;20;105
Spin - Song - 2011;SONG;21;20;105
Spin - Top 20 Singles Of The 90's - 1999;SONG;21;20;105
Mojo - Readers All Time To 100 Singles - 1997;SONG;107;100;107
Q - 100 Reggae Scorchers - 2005;ALBUM;108;100;108
Rolling Stone - 500 Albums - 2010;ALBUM;542;500;108,4
Spin - The 50 Most Essential Punk Records - 2001;ALBUM;55;50;110
Rolling Stone - Album - 1989;ALBUM;11;10;110
Spin - Album - 1999;ALBUM;22;20;110
Spin - Song - 1995;SONG;22;20;110
Spin - Song - 1999;SONG;22;20;110
NME - The 00's - 2012;SONG;114;100;114
Spin - Song - 2000;SONG;23;20;115
NME - Greatest Indie Anthem - 2007;SONG;60;50;120
Spin - Song - 1994;SONG;24;20;120
Spin - Song - 1997;SONG;24;20;120
Spin - Song - 1998;SONG;24;20;120
Rolling Stone - Song - 1985;SONG;6;5;120
top_300_songs;SONG;3 619;3 000;120,6
Rolling Stone - Song - 2003;SONG;11;9;122,2
Rolling Stone - The 100 Greatest Albums Of The 80s - 1990;ALBUM;125;100;125
Rolling Stone - Album - 1988;ALBUM;13;10;130
Rolling Stone - Song - 1988;SONG;13;10;130
NME - Songs - 1983;SONG;70;50;140
Mojo - 100 Greatest Songs Of All The Time - 2000;SONG;148;100;148
Spin - Song - 1996;SONG;30;20;150
NME - Songs - 1978;SONG;49;30;163,3
NME - Songs - 1980;SONG;82;50;164
NME - Songs - 1977;SONG;50;30;166,6
Spin - 100 Greatest Albums (1985-2005) - 2005;ALBUM;175;100;175
Mojo - Ultimate Jukebox The 100 Singles You Must Own - 2003;SONG;200;100;200
NME - The Most Influential Artist Of All Time - 2000;ALBUM;57;20;285
NME - The Beatles 1970-1980 - The Solo Years - 1980;SONG;40;10;400
