1. Black Grape -  Reverend Black Grape
3. Pulp - Sorted For E's And Wizz
5. Foo Fighters -  This Is Is A Call
7. Mcalmont & Butler -  Yes
9. Blur -  The Universal
10. Tlc -  Waterfalls
11. Tricky. Black Steel
12. The Boo Radleys -  Wake Up, Boo!
13. Coolio -  Gangsta's Paradise
14. Orbital -  Times Fly
15. The Verve -  History
16. Teenage Fanclub -  Mellow Doubt
18. Ash -  Girl From Mars
19. Method Man -  Release Yo'delf
20. The Bluetones -  Bluetonic
21. The Stone Roses -  Ten Storey Love Song
24. Plush -  Found A Little Baby
25. Blackgrape -  Kelly's Heroes
26. Gorky's Zygotic Mynci -  Llanfwrog Ep
28. Clubbed To Death -  Clubbed To Death
29. Scarface -  Hand Of The Dead Body
30. Alanis Morissette -  You Oughta Know
31. Black Grape -  In The Name Of The Father
32. The Cardigans -  Sick And Tired
33. Ash -  Kung Fu
34. The Bluetones -  Are You Blue Or Are You Blind
35. Weezer -  Buddy Holly
36. Nicolette -  No Government
37. Passengers -  Miss Sarajevo
38. Edwyn Collins -  A Girl Like You
39. Beastie Boys -  Root Down Ep
42. Alex Reece -  Pulp Fiction
43. Elastica -  Waking Up
45. Spooky -  Stereo EP
46. Tortoise -  Gamera/Ciiff Dweller Society
47. Take That -  Back For Good
48. Radiohead -  Lucky
49. Supergrass -  Mansize Rooster
