3. Usher, 'Climax'
9. Fiona Apple, 'Werewolf'
10. Jai Paul, 'Jasmine'
15. Andy Stott, 'Numb'
16. Solange, 'Losing You'
17. Chairlift, 'I Belong in Your Arms'
18. Nicki Minaj, 'Beez in the Trap' [ft. 2 Chainz]
19. Ariel Pink's Haunted Graffiti, 'Only in My Dreams'
23. Dirty Projectors, 'Dance for You'
24. Chief Keef, 'I Don't Like'[ft. Lil Reese]
26. TNGHT, 'Higher Ground'
28. Cat Power, 'Nothin But Time'
29. Carly Rae Jepsen, 'Call Me Maybe'
31. Frank Ocean, 'Bad Religion'
32. Sky Ferreira, 'Everything Is Embarrassing'
33. Danny Brown, 'Grown Up'
34. Cloud Nothings, 'Stay Useless'
36. Todd Terje, 'Inspector Norse'
37. Killer Mike, 'Reagan'
39. Schoolboy Q, 'Hands on the Wheel' [ft. A$AP Rocky]
40. The Men, 'Open Your Heart'
41. El-P, 'The Full Retard'
42. Gunplay, 'Jump Out'
43. Dum Dum Girls, 'Lord Knows'
44. AlunaGeorge, 'You Know You Like It'
45. Spiritualized, 'Hey Jane'
46. Ty Segall Band, 'I Bought My Eyes'
48. Burial/Four Tet, 'Nova'
49. Future, 'Turn on the Lights'
51. Kendrick Lamar, 'Backstreet Freestyle'
52. Sharon Van Etten, 'Serpents'
53. Rhye, 'The Fall'
54. Savages, 'Husbands'
55. Miguel, 'Do You...'
56. Peaking Lights, 'Beautiful Son'
57. Killer Mike, 'Big Beast' [ft. Bun B, T.I., and Trouble]
58. Purity Ring, 'Fineshrine'
59. Mac DeMarco, 'Ode to Viceroy'
60. Anna Meredith, 'Nautilus'
62. Philip Glass, '73-78 (Beck Remix)'
64. Julia Holter, 'In the Same Room'
65. Metz, 'Wet Blanket'
66. Rick Ross, 'Stay Schemin'' [ft. Drake and French Montana]
67. DIIV, 'How Long Have You Known'
68. TNGHT, 'Goooo'
69. Le1f, 'Wut'
70. Four Tet, 'Pyramids'
71. Thee Oh Sees, 'Lupine Dominus'
72. John Talabot, 'Destiny' [ft. Pional]
73. Juicy J, 'Bands A Make Her Dance (Remix)' [ft. Lil Wayne and 2 Chainz]
74. Ariel Pink's Haunted Graffiti, 'Baby'
76. Blawan, 'Why They Hide Their Bodies Under My Garage'
78. King Tuff, 'Bad Thing'
79. Rich Kidz, 'My Life' [ft. Waka Flocka Flame]
80. Baauer, 'Harlem Shake'
83. How to Dress Well, 'Cold Nites'
84. Lower Dens, 'Brains'
85. Major Lazer, 'Get Free'
86. Chief Keef, 'Love Sosa'
87. Lotus Plaza, 'Monoliths'
88. A$AP Rocky, 'Goldie'
89. Jeremih, '773 Love'
90. Daphni, 'Yes I Know'
91. Antony & the Johnsons, 'Cut the World'
92. King Louie, 'Val Venis'
93. Cassie, 'King of Hearts (Richard X Remix Edit)'
94. Saint Etienne, 'Tonight'
95. R. Kelly, 'Share My Love'
96. Merchandise, 'Time'
97. Twin Shadow, 'Golden Light'
98. Odd Future, 'Oldie'
100. Swearin', 'Just'
