18. Maybellene, Chuck Berry
24. People Get Ready, The Impressions
28. (Sittin on) the Dock of the Bay, Otis Redding
39. That'll Be the Day, Buddy Holly and the Crickets
40. Dancing in the Street, Martha and the Vandellas
50. The Tracks of My Tears, Smokey Robinson and the Miracles
51. The Message, Grandmaster Flash and the Furious Five
52. When Doves Cry, Prince
54. When a Man Loves a Woman, Percy Sledge
56. Long Tall Sally, Little Richard
57. Whiter Shade of Pale, Procol Harum
60. Let's Stay Together, Al Green
61. Whole Lotta Shakin' Goin On, Jerry Lee Lewis
62. Bo Diddley, Bo Diddley
69. Crying, Roy Orbison
70. Walk On By, Dionne Warwick
72. Papa's Got a Brand New Bag, James Brown
73. Summertime Blues, Eddie Cochran
74. Superstition, Stevie Wonder
77. Mystery Train, Elvis Presley
78. I Got You (I Feel Good), James Brown
81. Blueberry Hill, Fats Domino
85. Crazy, Patsy Cline
88. My Girl, The Temptations
90. In the Still of the Nite, The Five Satins
91. Suspicious Minds, Elvis Presley
94. Good Golly, Miss Molly, Little Richard
95. Blue Suede Shoes, Carl Perkins
96. Great Balls of Fire, Jerry Lee Lewis
97. Roll Over Beethoven, Chuck Berry
98. Love and Happiness, Al Green
103. Hot Stuff, Donna Summer
104. Living for the City, Stevie Wonder
107. Not Fade Away, Buddy Holly and the Crickets
108. Little Red Corvette, Prince
110. I've Been Loving You Too Long (to Stop Now), Otis Redding
111. I'm So Lonesome I Could Cry, Hank Williams
112. That's All Right, Elvis Presley
113. Up on the Roof, The Drifters
115. You Send Me, Sam Cooke
117. Take Me to the River , Al Green
118. Shout (Parts 1 and 2)], The Isley Brothers
121. Stand By Me, Ben E. King
123. It's a Man's Man's Man's World, James Brown
125. Will You Love Me Tomorrow, The Shirelles
126. Shake, Rattle & Roll, Big Joe Turner
128. Rock & Roll Music, Chuck Berry
130. Maggie May, Rod Stewart
132. Who Do You Love, Bo Diddley
134. In the Midnight Hour, Wilson Pickett
136. Your Song, Elton John
138. Family Affair, Sly and the Family Stone
141. All I Have to Do Is Dream, The Everly Brothers
142. Please, Please, Please, James Brown
143. Purple Rain, Prince
149. Cathy's Clown, The Everly Brothers
151. Earth Angel, The Penguins
154. Rave On, Buddy Holly and the Crickets
